antecedents,consequents,support,confidence,lift
HOUSEHOLD ITEMS,"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, PERSONAL CARE",0.01093392405876067,0.09251785159888234,4.295637736172383
"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, PERSONAL CARE",HOUSEHOLD ITEMS,0.01093392405876067,0.5076660988074957,4.295637736172382
"FOOD STAPLES, HOUSEHOLD ITEMS, TEA AND SPICES",CLEANING SUPPLIES,0.013373876910799543,0.6048537647790915,4.261908619155208
CLEANING SUPPLIES,"FOOD STAPLES, HOUSEHOLD ITEMS, TEA AND SPICES",0.013373876910799543,0.09423474663908997,4.261908619155208
"FOOD STAPLES, HOUSEHOLD ITEMS","COOKING OIL, TEA AND SPICES",0.010773400844810743,0.1883116883116883,4.208149593565192
"COOKING OIL, TEA AND SPICES","FOOD STAPLES, HOUSEHOLD ITEMS",0.010773400844810743,0.24075023060366912,4.208149593565191
"CLEANING SUPPLIES, COOKING OIL","CANNED AND PACKAGED FOODS, TEA AND SPICES",0.011296247884533359,0.25672295184490307,4.188185727752123
"CANNED AND PACKAGED FOODS, TEA AND SPICES","CLEANING SUPPLIES, COOKING OIL",0.011296247884533359,0.18428731762065095,4.188185727752123
"COOKING OIL, PERSONAL CARE",CLEANING SUPPLIES,0.015561578998059962,0.5925602514844569,4.175286309233342
CLEANING SUPPLIES,"COOKING OIL, PERSONAL CARE",0.015561578998059962,0.10964968976215098,4.175286309233342
"CANNED AND PACKAGED FOODS, COOKING OIL","FOOD STAPLES, HOUSEHOLD ITEMS",0.012103450331824415,0.23646953405017923,4.133325941614472
"FOOD STAPLES, HOUSEHOLD ITEMS","CANNED AND PACKAGED FOODS, COOKING OIL",0.012103450331824415,0.2115600448933782,4.133325941614472
"BISCUITS AND COOKIES, CANNED AND PACKAGED FOODS","FOOD STAPLES, NOODLES",0.013846273797566469,0.2096527777777778,4.127872738697249
"FOOD STAPLES, NOODLES","BISCUITS AND COOKIES, CANNED AND PACKAGED FOODS",0.013846273797566469,0.2726205526458371,4.127872738697249
"FOOD STAPLES, PERSONAL CARE, TEA AND SPICES",CLEANING SUPPLIES,0.013318840380302425,0.5802197802197802,4.0883331249928965
CLEANING SUPPLIES,"FOOD STAPLES, PERSONAL CARE, TEA AND SPICES",0.013318840380302425,0.09384694932781798,4.0883331249928965
HOUSEHOLD ITEMS,"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, TEA AND SPICES",0.010250553805088127,0.08673548587395219,4.056530487666005
"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, TEA AND SPICES",HOUSEHOLD ITEMS,0.010250553805088127,0.4794079794079794,4.056530487666005
"CLEANING SUPPLIES, COOKING OIL, TEA AND SPICES","CANNED AND PACKAGED FOODS, FOOD STAPLES",0.010677086916440788,0.5768087215064421,4.047294947901787
"CANNED AND PACKAGED FOODS, FOOD STAPLES","CLEANING SUPPLIES, COOKING OIL, TEA AND SPICES",0.010677086916440788,0.07491793782583511,4.047294947901786
"CANNED AND PACKAGED FOODS, TEA AND SPICES","FOOD STAPLES, HOUSEHOLD ITEMS",0.014162733847924894,0.2310512532734755,4.038618094435528
"FOOD STAPLES, HOUSEHOLD ITEMS","CANNED AND PACKAGED FOODS, TEA AND SPICES",0.014162733847924894,0.24755491422158088,4.038618094435528
"FOOD STAPLES, TEA AND SPICES","CANNED AND PACKAGED FOODS, COOKING OIL",0.020721253732164723,0.20575644412059385,4.019938871570065
"CANNED AND PACKAGED FOODS, COOKING OIL","FOOD STAPLES, TEA AND SPICES",0.020721253732164723,0.40483870967741936,4.019938871570065
"FOOD STAPLES, NOODLES","CANNED AND PACKAGED FOODS, CLEANING SUPPLIES",0.011053169874837758,0.21762687375835293,4.007661374463682
"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES","FOOD STAPLES, NOODLES",0.011053169874837758,0.2035472972972973,4.007661374463682
"CLEANING SUPPLIES, FOOD STAPLES","CANNED AND PACKAGED FOODS, PERSONAL CARE",0.017171397515100648,0.2022362664073894,3.9980949151027256
"CANNED AND PACKAGED FOODS, PERSONAL CARE","CLEANING SUPPLIES, FOOD STAPLES",0.017171397515100648,0.3394686734971439,3.9980949151027256
"BISCUITS AND COOKIES, FOOD STAPLES","CLEANING SUPPLIES, TEA AND SPICES",0.012539156198259929,0.15291682980032442,3.9963474552527067
"CLEANING SUPPLIES, TEA AND SPICES","BISCUITS AND COOKIES, FOOD STAPLES",0.012539156198259929,0.32769986815294255,3.9963474552527063
CLEANING SUPPLIES,"CANNED AND PACKAGED FOODS, FOOD STAPLES, HOUSEHOLD ITEMS",0.017382370882006264,0.12247931747673216,3.9757366301435537
"CANNED AND PACKAGED FOODS, FOOD STAPLES, HOUSEHOLD ITEMS",CLEANING SUPPLIES,0.017382370882006264,0.5642399880899212,3.9757366301435537
"BISCUITS AND COOKIES, FOOD STAPLES, PERSONAL CARE",CLEANING SUPPLIES,0.012130968597072973,0.5581346275585566,3.932717159675058
CLEANING SUPPLIES,"BISCUITS AND COOKIES, FOOD STAPLES, PERSONAL CARE",0.012130968597072973,0.08547699069286452,3.932717159675058
"CLEANING SUPPLIES, FOOD STAPLES, PERSONAL CARE",HOUSEHOLD ITEMS,0.013594023032788014,0.46377718666875295,3.9242698870573927
HOUSEHOLD ITEMS,"CLEANING SUPPLIES, FOOD STAPLES, PERSONAL CARE",0.013594023032788014,0.11502638932008694,3.924269887057392
"HOUSEHOLD ITEMS, TEA AND SPICES","COOKING OIL, FOOD STAPLES",0.010773400844810743,0.3887142147939765,3.9100425009703934
"COOKING OIL, FOOD STAPLES","HOUSEHOLD ITEMS, TEA AND SPICES",0.010773400844810743,0.10836870271267761,3.9100425009703934
"HOUSEHOLD ITEMS, PERSONAL CARE",CLEANING SUPPLIES,0.018570242665235718,0.5544296864302343,3.906611476867534
CLEANING SUPPLIES,"HOUSEHOLD ITEMS, PERSONAL CARE",0.018570242665235718,0.13084927611168562,3.9066114768675337
CLEANING SUPPLIES,"HOUSEHOLD ITEMS, TEA AND SPICES",0.01531850098836436,0.10793691830403308,3.8944633222334044
"HOUSEHOLD ITEMS, TEA AND SPICES",CLEANING SUPPLIES,0.01531850098836436,0.5527056097964587,3.894463322233404
"BISCUITS AND COOKIES, HOUSEHOLD ITEMS",CLEANING SUPPLIES,0.014882795121928846,0.5514018691588785,3.885276930771535
CLEANING SUPPLIES,"BISCUITS AND COOKIES, HOUSEHOLD ITEMS",0.014882795121928846,0.10486685625646328,3.8852769307715347
"BISCUITS AND COOKIES, FOOD STAPLES","CANNED AND PACKAGED FOODS, CLEANING SUPPLIES",0.017267711443470602,0.21058224732926897,3.877932555821944
"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES","BISCUITS AND COOKIES, FOOD STAPLES",0.017267711443470602,0.3179898648648648,3.8779325558219435
"CLEANING SUPPLIES, HOUSEHOLD ITEMS","CANNED AND PACKAGED FOODS, TEA AND SPICES",0.010250553805088127,0.23693416728506306,3.86535091899239
"CANNED AND PACKAGED FOODS, TEA AND SPICES","CLEANING SUPPLIES, HOUSEHOLD ITEMS",0.010250553805088127,0.16722783389450055,3.86535091899239
"COOKING OIL, PERSONAL CARE","FOOD STAPLES, TEA AND SPICES",0.010190930897049583,0.3880544882989871,3.853276093690056
"FOOD STAPLES, TEA AND SPICES","COOKING OIL, PERSONAL CARE",0.010190930897049583,0.10119318699335093,3.8532760936900554
"FOOD STAPLES, TEA AND SPICES","CLEANING SUPPLIES, COOKING OIL",0.017015460678692147,0.16895892157755713,3.8398265982912054
"CLEANING SUPPLIES, COOKING OIL","FOOD STAPLES, TEA AND SPICES",0.017015460678692147,0.3867000208463623,3.8398265982912054
"NOODLES, TEA AND SPICES","CANNED AND PACKAGED FOODS, FOOD STAPLES",0.010695432426606493,0.54182156133829,3.801800468865184
"CANNED AND PACKAGED FOODS, FOOD STAPLES","NOODLES, TEA AND SPICES",0.010695432426606493,0.0750466628049173,3.801800468865184
"FOOD STAPLES, PERSONAL CARE","CANNED AND PACKAGED FOODS, TEA AND SPICES",0.014717685530437494,0.23147947774651947,3.776362954688954
"CANNED AND PACKAGED FOODS, TEA AND SPICES","FOOD STAPLES, PERSONAL CARE",0.014717685530437494,0.2401047512158623,3.776362954688954
CLEANING SUPPLIES,"BISCUITS AND COOKIES, COOKING OIL, FOOD STAPLES",0.013006966707485426,0.09164943123061013,3.7646885902842016
"BISCUITS AND COOKIES, COOKING OIL, FOOD STAPLES",CLEANING SUPPLIES,0.013006966707485426,0.5342878673700076,3.7646885902842016
"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, COOKING OIL, FOOD STAPLES",TEA AND SPICES,0.010677086916440788,0.5662855752858186,3.744047788786282
TEA AND SPICES,"CANNED AND PACKAGED FOODS, CLEANING SUPPLIES, COOKING OIL, FOOD STAPLES",0.010677086916440788,0.0705925162229365,3.7440477887862817
"BISCUITS AND COOKIES, COOKING OIL","FOOD STAPLES, TEA AND SPICES",0.011099033650252022,0.3725943033102387,3.6997606389859965
