antecedents,consequents,support,confidence,lift
Chana,Kalo Dal,0.006257193680025113,0.11259649783468274,2.503104744838481
SHAKTI SOYABEAN OIL 1LTR,Sugar,0.006089777126713404,0.40870786516853935,2.419787552605458
Sugar,SHAKTI SOYABEAN OIL 1LTR,0.006089777126713404,0.036055011770536494,2.419787552605458
Sugar,SALT,0.022381500470859055,0.13251146078552845,2.34087251520757
SALT,Sugar,0.022381500470859055,0.3953789279112754,2.3408725152075696
SALT,Chana,0.0073349377419692375,0.12957486136783736,2.3316643759977813
Chana,SALT,0.0073349377419692375,0.1319902090001883,2.331664375997781
KUNDAN SUNFLOWER 1LTR,Rato Dal,0.006654807994140421,0.20845624385447395,2.295973634340449
Rato Dal,KUNDAN SUNFLOWER 1LTR,0.006654807994140421,0.07329722254235335,2.295973634340449
Rato Dal,SALT,0.011593596316835828,0.127693903422842,2.255768271741407
SALT,Rato Dal,0.011593596316835828,0.20480591497227357,2.255768271741407
Rato Dal,Chana,0.011373862090614209,0.12527371211248128,2.254266365390668
Chana,Rato Dal,0.011373862090614209,0.20466955375635473,2.2542663653906674
Rato Dal,FAMILY SUNFLOWER 1LTR,0.006403683164172858,0.07053128961622682,2.218057041336886
FAMILY SUNFLOWER 1LTR,Rato Dal,0.006403683164172858,0.20138203356367226,2.218057041336886
Seto Kerau,Sugar,0.006131631265041331,0.35731707317073175,2.1155242648325383
Sugar,Seto Kerau,0.006131631265041331,0.03630281253871887,2.1155242648325383
Makai,Rato Dal,0.006581563252066548,0.18854916067146282,2.0767135283360267
Rato Dal,Makai,0.006581563252066548,0.07249049210556643,2.0767135283360263
Sugar,"Mong Khosta, Rato Dal",0.005284084963900806,0.03128484698302565,1.985320601705021
"Mong Khosta, Rato Dal",Sugar,0.005284084963900806,0.3353253652058433,1.9853206017050207
Sugar,Chana,0.01786125353144292,0.10574897782183125,1.9029240840580706
Chana,Sugar,0.01786125353144292,0.3214083976652231,1.9029240840580706
Aadar Dal,Sugar,0.005702626347180078,0.31871345029239767,1.8869684329354754
Sugar,Aadar Dal,0.005702626347180078,0.03376285466484946,1.8869684329354754
Sugar,"Kalo Dal, Rato Dal",0.009207910432143978,0.054516169000123904,1.8843075122393642
"Kalo Dal, Rato Dal",Sugar,0.009207910432143978,0.3182640144665461,1.884307512239364
PATANJALI SOAP,Sugar,0.010861148896097102,0.3162705667276052,1.872505145716592
Sugar,PATANJALI SOAP,0.010861148896097102,0.06430429934332797,1.872505145716592
Sugar,Mong Khosta,0.009647378884587214,0.05711807706603891,1.8586226166841466
Mong Khosta,Sugar,0.009647378884587214,0.31392577459993193,1.8586226166841466
Sugar,Kalo Dal,0.01335147012660877,0.07904844505017966,1.7573063255281858
Kalo Dal,Sugar,0.01335147012660877,0.29681321237497094,1.7573063255281858
Rato Dal,Sugar,0.026514596630741863,0.29203641811686065,1.7290249336778822
Sugar,Rato Dal,0.026514596630741863,0.1569817866435386,1.7290249336778822
GYAN CHAKKI AATA 2KG,Sugar,0.00554567332845035,0.2869518137520303,1.6989211275109366
Sugar,GYAN CHAKKI AATA 2KG,0.00554567332845035,0.03283360178416553,1.6989211275109364
BMC MEAT MASALA 100GM,Sugar,0.005315475567646751,0.28066298342541435,1.661687605375223
Sugar,BMC MEAT MASALA 100GM,0.005315475567646751,0.03147069755916243,1.6616876053752228
Sugar,KUNDAN SUNFLOWER 1LTR,0.008904467929266507,0.05271961343080164,1.651397396126422
KUNDAN SUNFLOWER 1LTR,Sugar,0.008904467929266507,0.2789249426417568,1.651397396126422
Sugar,FAMILY SUNFLOWER 1LTR,0.00858009835722507,0.05079915747738818,1.5975240145159555
FAMILY SUNFLOWER 1LTR,Sugar,0.00858009835722507,0.26982560052648896,1.5975240145159553
